target,position,direction,peak_layer,confidence_change,logit_diff_change,token_changed_rate
triviaqa/commitment_challenge/answer_logit,PANL+1,high,0,0.0,0.0143,0.0
triviaqa/commitment_challenge/answer_logit,PANL+1,low,0,0.0,-0.0644,0.0
triviaqa/commitment_challenge/binary_entropy,CC,high,22,0.0523,0.3575,0.062
triviaqa/commitment_challenge/binary_entropy,CC,low,16,0.0367,-0.3274,0.042
triviaqa/commitment_challenge/binary_entropy,FCC,high,0,0.0,-0.0854,0.0
triviaqa/commitment_challenge/binary_entropy,FCC,low,0,0.0,-0.0229,0.0
triviaqa/commitment_challenge/binary_entropy,PANL,high,0,0.0,0.0219,0.0
triviaqa/commitment_challenge/binary_entropy,PANL,low,0,0.0367,0.005,0.042
triviaqa/commitment_challenge/binary_entropy,PANL+1,high,0,0.0,-0.0578,0.0
triviaqa/commitment_challenge/binary_entropy,PANL+1,low,0,0.0,0.021,0.0
triviaqa/nuance_defined/correctness,CC,high,22,0.0892,-0.9468,0.208
triviaqa/nuance_defined/correctness,CC,low,22,-0.0817,0.7986,0.25
triviaqa/nuance_defined/correctness,FCC,high,0,0.0,-0.0751,0.0
triviaqa/nuance_defined/correctness,FCC,low,0,0.0,-0.1037,0.0
triviaqa/nuance_defined/correctness,PANL,high,11,0.0217,-0.2053,0.083
triviaqa/nuance_defined/correctness,PANL,low,11,-0.0254,-0.1341,0.083
triviaqa/nuance_defined/correctness,PANL+1,high,0,0.0,-0.2756,0.0
triviaqa/nuance_defined/correctness,PANL+1,low,5,0.0054,-0.1128,0.021
triviaqa/nuance_defined/answer_logit,CC,high,22,0.0892,-0.9987,0.208
triviaqa/nuance_defined/answer_logit,CC,low,22,-0.0767,0.76,0.229
triviaqa/nuance_defined/answer_logit,FCC,high,0,0.0,-0.0299,0.0
triviaqa/nuance_defined/answer_logit,FCC,low,0,0.0,-0.0603,0.0
triviaqa/nuance_defined/answer_logit,PANL,high,11,0.0163,-0.1089,0.062
triviaqa/nuance_defined/answer_logit,PANL,low,11,-0.0254,-0.0638,0.083
triviaqa/nuance_defined/answer_logit,PANL+1,high,0,0.0,-0.2053,0.0
triviaqa/nuance_defined/answer_logit,PANL+1,low,5,0.0054,-0.0938,0.021
triviaqa/nuance_defined/binary_entropy,CC,high,22,0.0946,-1.0632,0.229
triviaqa/nuance_defined/binary_entropy,CC,low,22,-0.0767,0.7956,0.229
triviaqa/nuance_defined/binary_entropy,FCC,high,0,0.0,-0.0872,0.0
triviaqa/nuance_defined/binary_entropy,FCC,low,0,0.0,-0.0911,0.0
triviaqa/nuance_defined/binary_entropy,PANL,high,16,0.0163,-0.2096,0.062
triviaqa/nuance_defined/binary_entropy,PANL,low,16,-0.02,-0.0694,0.083
triviaqa/nuance_defined/binary_entropy,PANL+1,high,11,0.0054,-0.0087,0.021
triviaqa/nuance_defined/binary_entropy,PANL+1,low,0,0.0,-0.2339,0.0
synonyms/confidence/correctness,CC,high,22,0.1438,0.3056,0.271
synonyms/confidence/correctness,CC,low,22,-0.0604,-0.6095,0.312
synonyms/confidence/correctness,FCC,high,5,0.0063,0.0357,0.021
synonyms/confidence/correctness,FCC,low,11,0.0125,0.0587,0.042
synonyms/confidence/correctness,PANL,high,5,0.0146,-0.0272,0.062
synonyms/confidence/correctness,PANL,low,16,0.0083,-0.0156,0.042
synonyms/confidence/correctness,PANL+1,high,0,0.0063,0.0567,0.062
synonyms/confidence/correctness,PANL+1,low,5,0.0167,-0.0224,0.042
synonyms/confidence/answer_logit,CC,high,22,0.1729,-0.2254,0.396
synonyms/confidence/answer_logit,CC,low,22,-0.0271,-0.4491,0.271
synonyms/confidence/answer_logit,FCC,high,11,0.0104,-0.0237,0.062
synonyms/confidence/answer_logit,FCC,low,5,0.0125,0.0317,0.042
synonyms/confidence/answer_logit,PANL,high,0,-0.0042,0.0262,0.042
synonyms/confidence/answer_logit,PANL,low,11,0.0229,-0.0809,0.062
synonyms/confidence/answer_logit,PANL+1,high,5,0.0083,-0.0197,0.042
synonyms/confidence/answer_logit,PANL+1,low,11,0.0125,-0.0042,0.042
synonyms/confidence/binary_entropy,CC,high,22,0.1687,0.0894,0.354
synonyms/confidence/binary_entropy,CC,low,22,-0.0458,-0.5914,0.292
synonyms/confidence/binary_entropy,FCC,high,11,0.0063,0.0062,0.021
synonyms/confidence/binary_entropy,FCC,low,5,0.0063,0.0324,0.021
synonyms/confidence/binary_entropy,PANL,high,0,-0.0042,-0.0181,0.042
synonyms/confidence/binary_entropy,PANL,low,16,0.0146,-0.0165,0.062
synonyms/confidence/binary_entropy,PANL+1,high,11,0.0104,-0.0194,0.062
synonyms/confidence/binary_entropy,PANL+1,low,11,0.0167,-0.0139,0.042
synonyms/commitment_challenge/correctness,CC,high,22,-0.0815,-1.2148,0.229
synonyms/commitment_challenge/correctness,CC,low,22,0.0938,1.0104,0.125
synonyms/commitment_challenge/correctness,FCC,high,5,0.0312,0.151,0.042
synonyms/commitment_challenge/correctness,FCC,low,5,0.0312,-0.0301,0.042
synonyms/commitment_challenge/correctness,PANL,high,5,0.0312,0.0087,0.042
synonyms/commitment_challenge/correctness,PANL,low,0,0.0156,0.0305,0.021
synonyms/commitment_challenge/correctness,PANL+1,high,0,0.0156,0.0227,0.021
synonyms/commitment_challenge/correctness,PANL+1,low,0,0.0,0.0231,0.0
synonyms/commitment_challenge/answer_logit,CC,high,22,-0.1731,-1.7946,0.438
synonyms/commitment_challenge/answer_logit,CC,low,22,0.0938,1.431,0.125
synonyms/commitment_challenge/answer_logit,FCC,high,5,0.0312,0.0951,0.042
synonyms/commitment_challenge/answer_logit,FCC,low,11,0.0312,-0.0177,0.042
synonyms/commitment_challenge/answer_logit,PANL,high,16,0.0312,0.0195,0.042
synonyms/commitment_challenge/answer_logit,PANL,low,0,0.0,0.0878,0.0
synonyms/commitment_challenge/answer_logit,PANL+1,high,0,0.0312,-0.0126,0.042
synonyms/commitment_challenge/answer_logit,PANL+1,low,0,0.0156,0.011,0.021
synonyms/commitment_challenge/binary_entropy,CC,high,22,0.0938,0.902,0.125
synonyms/commitment_challenge/binary_entropy,CC,low,22,-0.0971,-0.9049,0.25
synonyms/commitment_challenge/binary_entropy,FCC,high,5,0.0312,0.284,0.042
synonyms/commitment_challenge/binary_entropy,FCC,low,5,0.0156,-0.1529,0.021
synonyms/commitment_challenge/binary_entropy,PANL,high,5,0.0625,0.0389,0.083
synonyms/commitment_challenge/binary_entropy,PANL,low,16,0.0156,-0.0149,0.021
synonyms/commitment_challenge/binary_entropy,PANL+1,high,0,0.0469,0.0043,0.062
synonyms/commitment_challenge/binary_entropy,PANL+1,low,0,0.0,-0.0035,0.0
synonyms/nuance_defined/correctness,CC,high,22,-0.0163,0.1667,0.062
synonyms/nuance_defined/correctness,CC,low,22,0.005,-0.1918,0.021
synonyms/nuance_defined/correctness,FCC,high,0,0.0,-0.0503,0.0
synonyms/nuance_defined/correctness,FCC,low,16,-0.0054,-0.0243,0.021
synonyms/nuance_defined/correctness,PANL,high,0,0.005,-0.0508,0.021
synonyms/nuance_defined/correctness,PANL,low,11,-0.0108,0.1224,0.042
synonyms/nuance_defined/correctness,PANL+1,high,0,-0.0054,-0.0152,0.021
synonyms/nuance_defined/correctness,PANL+1,low,16,-0.0054,0.0178,0.021
synonyms/nuance_defined/answer_logit,CC,high,16,-0.0163,0.0551,0.062
synonyms/nuance_defined/answer_logit,CC,low,22,-0.0492,0.9618,0.229
synonyms/nuance_defined/answer_logit,FCC,high,0,0.0,0.0087,0.0
synonyms/nuance_defined/answer_logit,FCC,low,11,-0.0108,-0.0221,0.042
synonyms/nuance_defined/answer_logit,PANL,high,5,-0.0108,-0.0664,0.042
synonyms/nuance_defined/answer_logit,PANL,low,16,-0.0108,0.0473,0.042
synonyms/nuance_defined/answer_logit,PANL+1,high,0,-0.0058,-0.0734,0.062
synonyms/nuance_defined/answer_logit,PANL+1,low,0,0.005,0.059,0.021
synonyms/nuance_defined/binary_entropy,CC,high,5,-0.0054,0.0195,0.021
synonyms/nuance_defined/binary_entropy,CC,low,22,-0.0542,1.1254,0.208
synonyms/nuance_defined/binary_entropy,FCC,high,0,0.0,-0.0291,0.0
synonyms/nuance_defined/binary_entropy,FCC,low,11,-0.0054,-0.0295,0.021
synonyms/nuance_defined/binary_entropy,PANL,high,0,0.01,-0.0456,0.042
synonyms/nuance_defined/binary_entropy,PANL,low,11,-0.0163,0.0434,0.062
synonyms/nuance_defined/binary_entropy,PANL+1,high,16,-0.0054,0.0156,0.021
synonyms/nuance_defined/binary_entropy,PANL+1,low,0,-0.0058,-0.0065,0.062
