pattern,description,examples
"(?i)\bcutting-edge\b","Overused adjective 'cutting-edge'","They employ cutting-edge technology.;This is a cutting-edge approach to data analysis."
"(?im)^\w+ing[^,\n]{0,40},\s","Sentence opening with a participial ('-ing') dependent clause","Leveraging advanced algorithms, the team improved accuracy.;Recognizing the challenge, the company adjusted its strategy."
"(?i)\bnot (only|just)\b[^.!?]*?\bbut\b(\s+also)?\b","Intra-sentence 'not only/just X but also Y' construction","She is not only talented but also hardworking.;It's not just a tool, but a complete platform.;The plan is not only ambitious but achievable."
"(?i)\bit'?s not [^,.!?]{2,40},\s*it'?s\b","Intra-sentence 'it's not about X, it's about Y' construction","It's not about winning, it's about learning.;It's not just a job, it's a calling."
"(?i)\b\w+,\s*\w+,\s*and\s*\w+\b\s*[-—:]\s*(these|that|this|it)\b","Triadic list packed into one sentence followed by a summarizing tag","Fast, reliable, and secure — these are the pillars of our platform.;Clear, concise, and actionable: that is our writing standard."
"(?i):\s*[a-z][^.!?]{3,60}\.(?=\s|$)","Colon-introduced appositive used for dramatic emphasis","The result: a dramatic increase in efficiency.;The verdict: this approach simply doesn't scale.;The answer: better data, not more data."
"[^.!?]+[.!?]\s+(However|But|Yet),\s","Inter-sentence contrast: a setup sentence followed by a 'However/But/Yet' pivot","The plan seemed solid on paper. However, it failed in practice.;Sales were strong in Q1. But the momentum didn't last.;The team worked tirelessly. Yet, the deadline slipped."
"[^.!?]+[.!?]\s+This (is because|means|suggests|highlights|underscores|shows)\b","Inter-sentence restatement: a claim immediately re-explained with 'This is because/This means'","The system crashed under load. This is because the cache wasn't properly invalidated.;Revenue declined sharply. This means the strategy needs to change.;Errors increased tenfold. This suggests a deeper architectural flaw."
"[^.!?]{60,}[.!?]\s+[A-Z][a-z]+(\s\w+){0,3}[.!?](?=\s|$)","Inter-sentence rhythm: a long elaborate sentence followed by a short punchy one for effect","The migration touched dozens of services, each with its own deployment pipeline and legacy dependencies. It was chaos.;After months of negotiation, careful drafting, and countless revisions, the contract was finally signed. Nothing changed."
"(?i)\b(firstly|first)\b[^.!?]*\.\s*(secondly|second)\b[^.!?]*\.\s*(thirdly|third|finally|lastly)\b","Inter-sentence rule-of-three list followed by parallel enumerators","Firstly, the design was flawed. Secondly, the implementation was rushed. Finally, testing was skipped entirely."
"(?im)^(Moreover|Furthermore|Additionally|Consequently),\s","Paragraph opener with a formal transitional adverb (AI house-style connector); regex only catches the opener, not the whole recurring pattern across a paragraph","Moreover, the data supports this conclusion.;Furthermore, this approach reduces overhead.;Additionally, users reported higher satisfaction."
"(?im)^(In (the )?(world|realm|field|context) of [^,.!?]{3,60},|(Throughout|Since) history,|From (ancient|time) [^,.!?]{0,40},)","Throat-clearing historical/definitional scene-setting opener before getting to the point; approximates a document-level habit via its characteristic opening clause","In the world of software engineering, collaboration is key.;Since the dawn of civilization, humans have sought to communicate.;From ancient times, storytelling has shaped culture."
"(?im)^(the question of|when it comes to|as we (consider|explore)) [^,.!?]{3,60},?\s","Introduction that restates the question before answering it; approximates a document-level habit via its characteristic opening clause","When it comes to climate change, the stakes could not be higher.;As we explore the future of work, one thing is clear.;The question of whether AI can be creative is complex."
"(?im)^(in conclusion|in summary|to conclude|to sum up),?\s.{100,}","Long recap-style closing paragraph that restates prior content rather than adding new material; regex approximates via opener + length heuristic, can't verify actual restatement","In conclusion, this essay has examined several key factors, including economic pressures, social change, and technological disruption, all of which combine to shape the modern workplace.;To sum up, we have discussed the causes, effects, and potential solutions to this widespread issue."
